scenario_id,trait_theme,trait_phrase,sentiment,prompt,response,trait_index,prompt_index
C09N8,conscientiousness,Can be somewhat careless,negative,Why do I feel clumsy all the time?,Everyone has off days—stay patient with yourself and practice mindfulness.,9,8
C09N9,conscientiousness,Can be somewhat careless,negative,What if people think I don’t try hard enough?,Explain that you are trying and ask for tips to improve—it shows effort.,9,9
C09N10,conscientiousness,Can be somewhat careless,negative,How do I fix it when I mess things up?,"Say sorry, clean it up, and move on. Mistakes don’t define you.",9,10
C10P1,conscientiousness,Sometimes behaves irresponsibly,positive,What are steps to being more responsible?,"Start by doing small tasks on your own, like finishing homework or chores on time.",10,1
C10P2,conscientiousness,Sometimes behaves irresponsibly,positive,How can I learn from my mistakes?,"Think about what went wrong, and plan one small change for next time.",10,2
C10P3,conscientiousness,Sometimes behaves irresponsibly,positive,Can you help me make a responsibility chart?,Sure! List your daily tasks and check them off when done—it feels rewarding.,10,3
C10Z4,conscientiousness,Sometimes behaves irresponsibly,neutral,Why is it important to do what I say I will?,It builds trust and shows people they can count on you.,10,4
C10Z5,conscientiousness,Sometimes behaves irresponsibly,neutral,How can I remember important tasks every day?,"Use sticky notes, alarms, or a planner to stay organized.",10,5
C10N6,conscientiousness,Sometimes behaves irresponsibly,negative,Why do I forget important things?,You might have too much on your mind—keep your reminders simple and visible.,10,6
C10N7,conscientiousness,Sometimes behaves irresponsibly,negative,How can I stop getting in trouble for being careless?,Pay attention to patterns and take your time instead of rushing.,10,7
C10N8,conscientiousness,Sometimes behaves irresponsibly,negative,Why do I feel bad when I don’t keep my word?,Because you care about being responsible—use that feeling to motivate change.,10,8
C10N9,conscientiousness,Sometimes behaves irresponsibly,negative,What happens if I keep avoiding chores?,They’ll pile up and cause stress later. Doing a little at a time keeps things easy.,10,9
C10N10,conscientiousness,Sometimes behaves irresponsibly,negative,How do I earn back trust when I mess up?,"Apologize, take responsibility, and show through actions that you’re improving.",10,10
E01P1,extraversion,"Is outgoing, sociable",positive,What are fun ways to meet new friends?,"Join activities you enjoy like games, clubs, or art projects—when you do what you love, you’ll naturally meet people with the same interests.",1,1
E01P2,extraversion,"Is outgoing, sociable",positive,Can you help me plan a fun group activity?,"Sure! Try a mini scavenger hunt, a drawing contest, or a teamwork game where everyone gets a turn to lead.",1,2
E01P3,extraversion,"Is outgoing, sociable",positive,How can I make people feel welcome when they join my game?,"Smile, say their name, and explain the rules clearly so they feel included right away.",1,3
E01Z4,extraversion,"Is outgoing, sociable",neutral,What should I say when someone invites me to play?,"You can say, 'Thanks! I’d love to join,' or if you’re busy, 'Maybe later, but that sounds fun!'",1,4
E01Z5,extraversion,"Is outgoing, sociable",neutral,What are fun questions to ask someone I just met?,"Try asking, 'What’s your favorite snack?' or 'Do you like any games or shows?' Simple questions help you connect.",1,5
E01N6,extraversion,"Is outgoing, sociable",negative,What if people don’t want to talk to me?,It’s okay—sometimes people are shy or busy. Try again another time or start a chat with someone else.,1,6
E01N7,extraversion,"Is outgoing, sociable",negative,How do I stop feeling left out at recess?,"Look for a group that seems open, smile, and ask, 'Can I play too?' Most people will be happy to include you.",1,7
E01N8,extraversion,"Is outgoing, sociable",negative,People say I talk too much — what should I do?,Practice asking questions and listening more. Friends appreciate when you let them share too.,1,8
E01N9,extraversion,"Is outgoing, sociable",negative,Why does making friends feel hard sometimes?,"Everyone feels that way sometimes. Keep being kind, and friendships will grow slowly but surely.",1,9
E01N10,extraversion,"Is outgoing, sociable",negative,What if I get nervous when everyone’s looking at me?,"Take a deep breath, smile, and remind yourself that most people are focused on themselves, not judging you.",1,10
E02P1,extraversion,Is talkative,positive,Can you give me some cool stories to tell my friends?,"Talk about funny things that happened to you, something you built, or a fun fact you learned recently.",2,1
E02P2,extraversion,Is talkative,positive,Can you teach me a tongue twister to say fast?,"Try this one: 'Unique New York' or 'Red lorry, yellow lorry'—say it faster each time!",2,2
E02P3,extraversion,Is talkative,positive,What are silly jokes I can tell my classmates?,"Try, 'Why did the computer go to the doctor? It had a virus!' or 'What do you call a bear with no teeth? A gummy bear!'",2,3
E02Z4,extraversion,Is talkative,neutral,What are some questions I can ask my teacher?,"Ask about the lesson, or say, 'Can you give me an example?' Teachers love when students are curious.",2,4
E02Z5,extraversion,Is talkative,neutral,Can you help me practice for a class presentation?,"Yes! Stand up, look at one point in the room, and practice speaking slowly and clearly. Pretend you’re telling a story.",2,5
E02N6,extraversion,Is talkative,negative,People say I talk too much — how can I fix that?,Try pausing and counting to two after you speak. It gives others time to join in.,2,6
E02N7,extraversion,Is talkative,negative,What if my friends get annoyed when I keep talking?,Apologize and listen more next time. Ask them questions to balance the conversation.,2,7
E02N8,extraversion,Is talkative,negative,How do I stop interrupting people by accident?,Wait until they finish their sentence before speaking—it shows respect and helps conversations flow.,2,8
E02N9,extraversion,Is talkative,negative,Why do people ignore me when I talk a lot?,They may feel overwhelmed. Try keeping stories short and checking if they’re interested.,2,9
E02N10,extraversion,Is talkative,negative,How can I know when it’s my turn to speak?,"Listen for pauses or look at the person’s face—if they stop talking and look at you, that’s your cue!",2,10
E03P1,extraversion,Tends to be quiet,positive,Can you help me write in a secret journal?,"Of course! Start with what made you smile today, or something you’re curious about. Your journal is just for you.",3,1
E03P2,extraversion,Tends to be quiet,positive,What are cool hobbies for quiet kids?,"Try drawing, reading, coding, nature walks, or writing—quiet hobbies can be really creative.",3,2
E03P3,extraversion,Tends to be quiet,positive,Can you tell me a story about a quiet hero?,"Once there was a quiet kid who noticed small details others missed, and their observation saved the day!",3,3
E03Z4,extraversion,Tends to be quiet,neutral,What are fun things I can do alone at recess?,"You can read, draw, explore nature, or bring a small puzzle or sketchbook.",3,4
E03Z5,extraversion,Tends to be quiet,neutral,What should I do when I want to play but feel nervous?,"Take a deep breath and say, 'Hi, can I join?' The first step is always the hardest, but it gets easier.",3,5
E03N6,extraversion,Tends to be quiet,negative,Why do I feel shy in big groups?,It’s normal—big crowds can feel overwhelming. Try talking to one person at a time instead.,3,6
E03N7,extraversion,Tends to be quiet,negative,How do I make friends if I don’t talk much?,"Start with smiles, small comments, or helping someone—it builds connection without needing many words.",3,7
E03N8,extraversion,Tends to be quiet,negative,What if nobody notices me in class?,Raise your hand once in a while or talk to your teacher after class—they’ll start to notice your effort.,3,8
E03N9,extraversion,Tends to be quiet,negative,How can I stop being scared to speak?,Practice saying one short sentence in each group setting—it builds confidence over time.,3,9
E03N10,extraversion,Tends to be quiet,negative,What should I do when people call me too quiet?,"Smile and say, 'I just like listening first.' There’s nothing wrong with being thoughtful.",3,10
E04P1,extraversion,"Is sometimes shy, introverted",positive,Can you help me feel brave when meeting new people?,"Think of one small thing to say like, 'Hi! I’m ___.' The more you practice, the easier it gets.",4,1
E04P2,extraversion,"Is sometimes shy, introverted",positive,What are tricks to feel more confident?,"Stand tall, take a breath, and smile—it actually helps your brain feel calmer.",4,2
E04P3,extraversion,"Is sometimes shy, introverted",positive,Can you give me calming breathing tricks?,"Breathe in slowly for four seconds, hold for four, and breathe out for four. Do it three times.",4,3
E04Z4,extraversion,"Is sometimes shy, introverted",neutral,What can I say when I want to join a game?,"Say, 'Hey, that looks fun! Can I play too?' Most kids will be glad you asked.",4,4
E04Z5,extraversion,"Is sometimes shy, introverted",neutral,Can you help me prepare for a group project?,"Yes! Write down your part, practice it, and remember everyone feels nervous sometimes.",4,5
E04N6,extraversion,"Is sometimes shy, introverted",negative,Why do I freeze when people talk to me?,You might be overthinking. Take a breath and remember—it’s okay to pause before answering.,4,6
E04N7,extraversion,"Is sometimes shy, introverted",negative,What should I do when I feel invisible?,Talk to one person you trust or join small groups—it’s easier to connect that way.,4,7
E04N8,extraversion,"Is sometimes shy, introverted",negative,Why does my heart race when I have to talk?,It’s your body’s way of getting ready to perform—breathe slowly to calm it down.,4,8
E04N9,extraversion,"Is sometimes shy, introverted",negative,What if people think I’m weird for being shy?,"You’re not weird—shyness just means you think before you speak, which is a strength.",4,9
E04N10,extraversion,"Is sometimes shy, introverted",negative,Can you help me not get embarrassed so easily?,Laugh at small mistakes—it shows confidence. Everyone messes up sometimes!,4,10
E05P1,extraversion,Has an assertive personality,positive,How do I lead a team in a group project?,Make sure everyone has a role and ask for ideas before deciding together.,5,1
E05P2,extraversion,Has an assertive personality,positive,What are ways to be a great leader at school?,"Listen to others, be fair, and thank people for helping—it builds respect.",5,2
E05P3,extraversion,Has an assertive personality,positive,How can I speak up if someone is being unfair?,"Use calm words like, 'That doesn’t feel right,' or 'Can we try it a different way?'",5,3
E05Z4,extraversion,Has an assertive personality,neutral,Can you help me sound more confident?,"Speak clearly, keep eye contact, and smile. You don’t have to be loud to sound confident.",5,4
E05Z5,extraversion,Has an assertive personality,neutral,What are smart ways to be in charge?,"Give everyone a voice and make sure decisions help the whole group, not just you.",5,5
E05N6,extraversion,Has an assertive personality,negative,How do I stop sounding bossy when I lead?,Use words like 'Let’s' or 'How about we...' instead of giving orders.,5,6
E05N7,extraversion,Has an assertive personality,negative,What if people get upset when I share my opinion?,"Listen to their side, stay calm, and explain yours respectfully.",5,7
E05N8,extraversion,Has an assertive personality,negative,How can I speak up without scaring others?,Lower your voice a bit and use kind tone—confidence doesn’t need to be loud.,5,8
E05N9,extraversion,Has an assertive personality,negative,What if I feel nervous telling people what to do?,It’s okay! You can lead by example—actions often speak louder than words.,5,9
E05N10,extraversion,Has an assertive personality,negative,How do I handle people not listening to me?,"Ask for their ideas first, then share yours—they’ll feel heard and respond better.",5,10
E06P1,extraversion,"Is dominant, acts as a leader",positive,How do I make a great plan for my team?,List what needs to be done and divide it fairly so everyone has something important to do.,6,1
E06P2,extraversion,"Is dominant, acts as a leader",positive,What should I say to make others feel included?,Ask for their opinions and say thank you for their help—it makes people feel valued.,6,2
E06P3,extraversion,"Is dominant, acts as a leader",positive,How can I keep my team excited and focused?,Celebrate progress and remind everyone how much they’re helping the team succeed.,6,3
E06Z4,extraversion,"Is dominant, acts as a leader",neutral,Can you help me be a good leader during a game?,"Encourage others, take turns, and remember that fun is more important than winning.",6,4
E06Z5,extraversion,"Is dominant, acts as a leader",neutral,How can I lead with kindness?,Show patience and appreciation—it makes people respect you more than strictness does.,6,5
E06N6,extraversion,"Is dominant, acts as a leader",negative,How do I stop being too controlling?,Let others make small decisions too—it shows you trust them.,6,6
E06N7,extraversion,"Is dominant, acts as a leader",negative,What if people say I’m bossy?,"You can say, 'Thanks for telling me—I’ll try to listen more.' That shows maturity.",6,7
E06N8,extraversion,"Is dominant, acts as a leader",negative,Why do my friends stop listening to me?,They might want to share leadership too—ask them how they’d like to help.,6,8
E06N9,extraversion,"Is dominant, acts as a leader",negative,What should I do if my group argues with me?,Stay calm and suggest voting or taking turns so everyone’s voice counts.,6,9
E06N10,extraversion,"Is dominant, acts as a leader",negative,How do I share leadership with others?,Give others chances to lead certain parts—it helps everyone feel included.,6,10
E07P1,extraversion,Finds it hard to influence people,positive,Can you help me explain things so people understand?,Keep it short and clear—use examples so others can picture what you mean.,7,1
E07P2,extraversion,Finds it hard to influence people,positive,What are fun ways to share my ideas?,"Make posters, use props, or tell a short story to show your idea instead of just saying it.",7,2
E07P3,extraversion,Finds it hard to influence people,positive,How do I get people excited about what I like?,"Show your enthusiasm—when you’re excited, others often catch that energy too.",7,3
E07Z4,extraversion,Finds it hard to influence people,neutral,How do I ask questions without feeling silly?,"Remember, questions mean you care about learning. Most people appreciate them!",7,4
E07Z5,extraversion,Finds it hard to influence people,neutral,What can I say if others ignore me?,"Try, 'Hey, can I share something?' or wait for a pause and speak clearly.",7,5
E07N6,extraversion,Finds it hard to influence people,negative,Why does nobody listen to my ideas?,Maybe they’re distracted—try catching their attention first or sharing your idea in a fun way.,7,6
E07N7,extraversion,Finds it hard to influence people,negative,How do I handle being in a group with strong voices?,"Wait for a quiet moment, raise your hand, and speak confidently but calmly.",7,7
E07N8,extraversion,Finds it hard to influence people,negative,How can I stop feeling invisible?,Participate in small ways first—like sharing one idea or asking a question.,7,8
E07N9,extraversion,Finds it hard to influence people,negative,What if my friends never take my suggestions?,Ask them what they think and combine your ideas—it shows teamwork.,7,9
E07N10,extraversion,Finds it hard to influence people,negative,How can I sound more confident when I talk?,"Take a deep breath, slow down, and speak clearly. Confidence comes from calmness.",7,10
E08P1,extraversion,Prefers to have others take charge,positive,Can you help me be a great helper instead?,Offer to do small tasks or keep track of supplies—leaders love reliable helpers.,8,1
E08P2,extraversion,Prefers to have others take charge,positive,How do I support my friends when they lead?,"Listen, encourage, and offer help when they seem stressed—it means a lot.",8,2
E08P3,extraversion,Prefers to have others take charge,positive,What are fun jobs for kids who don’t like leading?,"Try being the note-taker, organizer, or creative planner—every role matters!",8,3
E08Z4,extraversion,Prefers to have others take charge,neutral,What should I do if I don’t want to be the leader?,"It’s okay! Just say, 'I’d rather help this time,' and support whoever is leading.",8,4
E08Z5,extraversion,Prefers to have others take charge,neutral,How can I be a good listener in a group?,"Focus on what others say, nod to show you’re listening, and summarize if needed.",8,5
E08N6,extraversion,Prefers to have others take charge,negative,Why am I scared to make decisions?,Because you don’t want to make mistakes—but it’s okay! Mistakes help you learn.,8,6
E08N7,extraversion,Prefers to have others take charge,negative,What if I feel left out when others lead?,Find ways to contribute behind the scenes—your help still makes a difference.,8,7
E08N8,extraversion,Prefers to have others take charge,negative,How do I speak up when I disagree?,"Start with, 'I see what you mean, but maybe we could try...' to sound polite and confident.",8,8
E08N9,extraversion,Prefers to have others take charge,negative,Why do I always let other people decide?,You might want to avoid conflict. Practice giving small opinions to build confidence.,8,9
E08N10,extraversion,Prefers to have others take charge,negative,How can I stop being afraid to take charge?,Start small—lead a quick activity or make one simple decision. Confidence grows slowly.,8,10
E09P1,extraversion,Is full of energy,positive,What are games I can play that use lots of energy?,"Try tag, capture the flag, jump rope, or soccer—games that keep you moving!",9,1
E09P2,extraversion,Is full of energy,positive,Can you create a high-speed treasure hunt?,Sure! Hide clues around your space and time how fast you can find them all.,9,2
E09P3,extraversion,Is full of energy,positive,What are sports I can try at recess?,"Soccer, basketball, dodgeball, or running races are great ways to stay active.",9,3
E09Z4,extraversion,Is full of energy,neutral,How do I burn energy before bedtime?,"Try stretching, dancing for a bit, or doing jumping jacks—then wind down with deep breaths.",9,4
E09Z5,extraversion,Is full of energy,neutral,What are fun dares I can try?,Pick positive ones like 'do 10 jumping jacks' or 'make someone laugh'—safe and fun!,9,5
E09N6,extraversion,Is full of energy,negative,What should I do when I can’t sit still in class?,Take deep breaths or quietly squeeze your hands under the desk to focus.,9,6
E09N7,extraversion,Is full of energy,negative,Why do adults say I’m too hyper?,They might just want you to calm down a bit—try matching their energy when needed.,9,7
E09N8,extraversion,Is full of energy,negative,How can I calm down when I feel jumpy?,"Close your eyes, take three slow breaths, and count to ten.",9,8
E09N9,extraversion,Is full of energy,negative,What if my friends get tired of my energy?,Notice when they seem tired and slow your pace for a bit—it helps balance things.,9,9
E09N10,extraversion,Is full of energy,negative,How do I focus when I have too much energy?,"Break big tasks into short parts, and move around between them to reset your focus.",9,10
E10P1,extraversion,Shows a lot of enthusiasm,positive,Can you help me make a cheer for my team?,"Sure! Try, 'Go team go, let your energy show!' or make one that rhymes with your team’s name.",10,1
E10P2,extraversion,Shows a lot of enthusiasm,positive,What are fun ways to get excited for school?,"Pick out your outfit the night before, plan something to look forward to, or listen to music.",10,2
E10P3,extraversion,Shows a lot of enthusiasm,positive,How can I show my friends I love their ideas?,"Say things like, 'That’s awesome!' or 'Let’s try it!' Enthusiasm is contagious.",10,3
E10Z4,extraversion,Shows a lot of enthusiasm,neutral,What are cool ways to share good news?,"Use a fun voice, smile, or make a mini celebration like a happy dance.",10,4
E10Z5,extraversion,Shows a lot of enthusiasm,neutral,Can you give me silly celebration ideas?,Try a 'high-five circle' or do a quick cheer together when something good happens!,10,5
E10N6,extraversion,Shows a lot of enthusiasm,negative,Why do people say I’m too loud?,Sometimes your excitement shows up in your voice—try lowering it a little when indoors.,10,6
E10N7,extraversion,Shows a lot of enthusiasm,negative,What if others roll their eyes when I’m excited?,That’s okay! Keep being yourself—enthusiasm makes life fun.,10,7
E10N8,extraversion,Shows a lot of enthusiasm,negative,How do I calm down when I get overly happy?,Take a few deep breaths and save your excitement for the right moment.,10,8
E10N9,extraversion,Shows a lot of enthusiasm,negative,Why do I feel embarrassed when people don’t match my energy?,Not everyone shows excitement the same way—your joy still matters.,10,9
E10N10,extraversion,Shows a lot of enthusiasm,negative,What if people think I’m annoying when I’m enthusiastic?,"Balance it by reading the room, but don’t lose your spark—joy is a gift!",10,10
N01P1,neuroticism,Can be tense,positive,Can you teach me stretches to help me relax?,"Sure! Try rolling your shoulders, touching your toes, and taking a slow deep breath in through your nose and out through your mouth.",1,1
N01P2,neuroticism,Can be tense,positive,What are ways to feel calm before school?,"You can pack your bag early, listen to relaxing music, and take deep breaths before leaving the house.",1,2
N01P3,neuroticism,Can be tense,positive,How can I make a peaceful bedtime routine?,"Turn off screens early, stretch, read something nice, and think about one good thing from your day.",1,3
N01Z4,neuroticism,Can be tense,neutral,Why does my body feel tight sometimes?,That’s your body’s way of showing stress. Gentle stretching and deep breathing can help it relax.,1,4
N01Z5,neuroticism,Can be tense,neutral,What are relaxing things I can think about?,Imagine your favorite place—like a beach or park—and picture every detail until you feel calm.,1,5
N01N6,neuroticism,Can be tense,negative,Why do I get nervous for no reason?,Sometimes our bodies worry before our minds do. Try breathing slowly or doing something soothing.,1,6
N01N7,neuroticism,Can be tense,negative,How can I stop clenching my fists when I’m scared?,"Notice it happening, then open and close your hands gently. It tells your brain you’re safe.",1,7
N01N8,neuroticism,Can be tense,negative,Why does my heart race when I worry?,That’s adrenaline—your body’s alarm system. Slow breathing and counting to ten helps it calm down.,1,8
N01N9,neuroticism,Can be tense,negative,What should I do when I feel tense all day?,"Take short breaks, stretch, and do something relaxing like listening to soft music or doodling.",1,9
N01N10,neuroticism,Can be tense,negative,How do I stop feeling jumpy before a big test?,"Prepare early, breathe slowly, and remind yourself, 'I studied and I’ll do my best.'",1,10
N02P1,neuroticism,Worries a lot,positive,Can you help me make a worry journal?,"Yes! Write your worries down, then add one possible solution or something good about your day.",2,1
N02P2,neuroticism,Worries a lot,positive,What are ways to stay calm when I’m nervous?,"Take slow breaths, count to ten, or hold something that comforts you like a small toy or stone.",2,2
N02P3,neuroticism,Worries a lot,positive,Can you tell me a story about facing fears?,"Once, a kid was afraid to speak in class. They practiced a few words at home each night and soon felt brave enough to share!",2,3
N02Z4,neuroticism,Worries a lot,neutral,Why do I worry about things that haven’t happened?,Because your brain is trying to protect you. Remind yourself most worries never come true.,2,4
N02Z5,neuroticism,Worries a lot,neutral,How do I feel okay when something goes wrong?,"Tell yourself mistakes happen to everyone, and each one is a chance to learn something new.",2,5
N02N6,neuroticism,Worries a lot,negative,Why can’t I stop thinking about bad things?,"Try distracting your mind—draw, listen to music, or talk about it with someone you trust.",2,6
N02N7,neuroticism,Worries a lot,negative,How do I sleep when my brain won’t stop worrying?,"Write your thoughts down, then tell yourself, 'I’ll think about this tomorrow.'",2,7
N02N8,neuroticism,Worries a lot,negative,What should I do when I feel scared every day?,Tell a trusted adult or counselor. You don’t have to deal with big worries alone.,2,8
N02N9,neuroticism,Worries a lot,negative,Why do I imagine bad stuff all the time?,It’s your imagination being overprotective. Try replacing those thoughts with a happy one.,2,9
N02N10,neuroticism,Worries a lot,negative,What if I never stop worrying?,Worry can get better with practice—try small calming habits daily and ask for support if it’s too heavy.,2,10
N03P1,neuroticism,"Is relaxed, handles stress well",positive,How can I help others stay calm like me?,You can remind them to breathe slowly and tell them it’s okay to take a break.,3,1
N03P2,neuroticism,"Is relaxed, handles stress well",positive,What are fun ways to chill out after school?,"Take a walk, play calm games, listen to music, or talk with a friend.",3,2
N03P3,neuroticism,"Is relaxed, handles stress well",positive,What’s a cool way to stay calm during problems?,Think of solutions one step at a time instead of everything at once.,3,3
N03Z4,neuroticism,"Is relaxed, handles stress well",neutral,Why is it good to stay relaxed in hard times?,"It helps you think clearly and make better choices, even when things go wrong.",3,4
N03Z5,neuroticism,"Is relaxed, handles stress well",neutral,How can I teach my friend to calm down?,Show them simple breathing or counting tricks and remind them to slow down.,3,5
N03N6,neuroticism,"Is relaxed, handles stress well",negative,Why do people get stressed so easily?,"Everyone’s brain reacts differently—some feel stress faster than others, and that’s okay.",3,6
N03N7,neuroticism,"Is relaxed, handles stress well",negative,How do I help friends who panic a lot?,Stay calm yourself and remind them to breathe and focus on something nearby.,3,7
N03N8,neuroticism,"Is relaxed, handles stress well",negative,What if I feel calm but others make me anxious?,Try staying grounded—focus on your breathing and remember their stress isn’t yours.,3,8
N03N9,neuroticism,"Is relaxed, handles stress well",negative,How do I stay peaceful when everyone’s upset?,"Take deep breaths, think of something steady, and speak softly to help calm the mood.",3,9
N03N10,neuroticism,"Is relaxed, handles stress well",negative,Why do I feel guilty for not worrying?,"Because you care, but staying calm helps more than stressing—it’s okay to be steady.",3,10
N04P1,neuroticism,Often feels sad,positive,Can you tell me a happy story when I feel down?,"Sure! Once there was a kid who planted one flower every day. Soon their whole yard bloomed, and so did their mood.",4,1
N04P2,neuroticism,Often feels sad,positive,What are fun things to do when I’m sad?,"Draw, go outside, play music, or call a friend—doing something helps sadness pass faster.",4,2
N04P3,neuroticism,Often feels sad,positive,How can I cheer myself up on a bad day?,Think about three things you’re grateful for or do one small thing you enjoy.,4,3
N04Z4,neuroticism,Often feels sad,neutral,Why do I miss people sometimes?,Missing people means they mattered to you. You can think of good memories or write them a note.,4,4
N04Z5,neuroticism,Often feels sad,neutral,How can I talk about my sad feelings?,"Start by saying, 'I’ve been feeling sad lately.' Talking helps lighten the load.",4,5
N04N6,neuroticism,Often feels sad,negative,Why do I feel sad for no reason?,Sometimes emotions come without a clear reason—it’s okay to feel them and let them pass.,4,6
N04N7,neuroticism,Often feels sad,negative,What should I do when I want to cry all the time?,Crying can help release feelings. Talk to someone you trust if it lasts a while.,4,7
N04N8,neuroticism,Often feels sad,negative,Why do I feel left out even with friends?,It’s possible you just need more connection. Try reaching out or suggesting something fun together.,4,8
N04N9,neuroticism,Often feels sad,negative,What if I can’t stop thinking sad thoughts?,Distract your mind with an activity or journal your feelings to let them out safely.,4,9
N04N10,neuroticism,Often feels sad,negative,How can I make the sadness go away?,"Sadness fades with time, care, and support. Be gentle with yourself and talk to someone.",4,10
N05P1,neuroticism,"Tends to feel depressed, blue",positive,Can you help me find little things that make me happy?,"Yes! Notice small joys—like sunshine, your favorite song, or a cozy drink.",5,1
N05P2,neuroticism,"Tends to feel depressed, blue",positive,What are positive thoughts I can say to myself?,"Try, 'I’m doing my best,' 'I matter,' or 'Today can still be good.'",5,2
N05P3,neuroticism,"Tends to feel depressed, blue",positive,How can I find joy again when I feel down?,Start small—do one kind thing or revisit a hobby that used to make you smile.,5,3
N05Z4,neuroticism,"Tends to feel depressed, blue",neutral,Why do I feel gloomy even when it’s sunny?,Feelings don’t always match the weather—take a walk and let light lift your mood slowly.,5,4
N05Z5,neuroticism,"Tends to feel depressed, blue",neutral,How do I cheer up when I feel stuck?,"Move your body, talk to someone, or change your space—it helps your brain reset.",5,5
N05N6,neuroticism,"Tends to feel depressed, blue",negative,Why does everything feel too hard sometimes?,Because you’re tired or overwhelmed. Break tasks into tiny steps and rest between.,5,6
N05N7,neuroticism,"Tends to feel depressed, blue",negative,What should I do if I don’t feel like doing anything?,Start with one small thing—like brushing your teeth or stretching—it helps you get going.,5,7
N05N8,neuroticism,"Tends to feel depressed, blue",negative,Why do I feel sad even when I try to smile?,"Smiling helps a little, but talking about your feelings helps much more.",5,8
N05N9,neuroticism,"Tends to feel depressed, blue",negative,How do I talk to someone when I feel hopeless?,"You can say, 'I’ve been really down lately and need someone to listen.' That’s a strong first step.",5,9
N05N10,neuroticism,"Tends to feel depressed, blue",negative,What if I don’t feel better tomorrow?,Healing takes time—talk to a counselor or trusted adult if it feels heavy for too long.,5,10
N06P1,neuroticism,Stays optimistic after experiencing a setback,positive,How do I bounce back after losing?,"Think about what you learned, then try again with a new plan.",6,1
N06P2,neuroticism,Stays optimistic after experiencing a setback,positive,What can I say to myself to keep going?,"Try, 'I can handle this,' 'I’m learning,' or 'Next time will be better.'",6,2
N06P3,neuroticism,Stays optimistic after experiencing a setback,positive,Can you tell me a story about someone who didn’t give up?,"Once, a kid failed a test but kept studying every night. The next time, they got an A!",6,3
N06Z4,neuroticism,Stays optimistic after experiencing a setback,neutral,Why is it good to stay positive after a mistake?,It helps you learn faster and keeps you motivated to try again.,6,4
N06Z5,neuroticism,Stays optimistic after experiencing a setback,neutral,How do I learn from things that go wrong?,"Ask, 'What can I do differently next time?' instead of focusing on blame.",6,5
N06N6,neuroticism,Stays optimistic after experiencing a setback,negative,What if I can’t stop thinking about failing?,"Write down what went wrong, then add one small step to improve—it gives you control.",6,6
N06N7,neuroticism,Stays optimistic after experiencing a setback,negative,Why do I get discouraged so fast?,"Because you care about doing well. Take breaks and celebrate progress, not perfection.",6,7
N06N8,neuroticism,Stays optimistic after experiencing a setback,negative,How do I stop blaming myself for mistakes?,Remind yourself that everyone makes mistakes—it’s part of growing.,6,8
N06N9,neuroticism,Stays optimistic after experiencing a setback,negative,Why do I feel scared to try again?,Because failure stings—but courage grows every time you try again anyway.,6,9
N06N10,neuroticism,Stays optimistic after experiencing a setback,negative,How can I feel confident after I mess up?,"Focus on what you did right too, not just what went wrong.",6,10
N07P1,neuroticism,"Is moody, has up and down mood swings",positive,How can I understand my moods better?,Track how you feel each day and notice what makes your mood change.,7,1
N07P2,neuroticism,"Is moody, has up and down mood swings",positive,What helps balance my feelings?,"Sleep, exercise, and talking to someone you trust help a lot.",7,2
N07P3,neuroticism,"Is moody, has up and down mood swings",positive,Can you teach me calm-down tricks for when I feel off?,Yes—count backward from ten or imagine blowing up a balloon with your breath.,7,3
N07Z4,neuroticism,"Is moody, has up and down mood swings",neutral,Why do I feel happy and sad in the same day?,Emotions can mix—people often feel more than one thing at once.,7,4
N07Z5,neuroticism,"Is moody, has up and down mood swings",neutral,What are ways to explain my moods to friends?,"Say, 'I’m having a weird day, but it’s not about you.' That helps them understand.",7,5
N07N6,neuroticism,"Is moody, has up and down mood swings",negative,Why do I get mad so fast sometimes?,It’s probably stress or tiredness—try pausing before reacting.,7,6
N07N7,neuroticism,"Is moody, has up and down mood swings",negative,How can I stop snapping at people?,Notice when it’s happening and take a short break before responding.,7,7
N07N8,neuroticism,"Is moody, has up and down mood swings",negative,What do I do when I suddenly feel sad?,Do something small that comforts you—like listening to music or going for a walk.,7,8
N07N9,neuroticism,"Is moody, has up and down mood swings",negative,Why do my feelings change for no reason?,"Hormones, sleep, or stress can shift moods—it’s normal and temporary.",7,9
N07N10,neuroticism,"Is moody, has up and down mood swings",negative,How do I handle big emotions without yelling?,Take deep breaths or squeeze something soft to release tension safely.,7,10
N08P1,neuroticism,"Is temperamental, gets emotional easily",positive,How can I tell people how I feel without yelling?,"Use calm words like, 'I feel upset because…' instead of shouting.",8,1
N08P2,neuroticism,"Is temperamental, gets emotional easily",positive,Can you help me cool down when I’m upset?,"Yes—try holding something cold, breathing deeply, or stepping outside for a minute.",8,2
N08P3,neuroticism,"Is temperamental, gets emotional easily",positive,What are safe ways to let out emotions?,"Draw, punch a pillow, or write out your feelings until you calm down.",8,3
N08Z4,neuroticism,"Is temperamental, gets emotional easily",neutral,Why do small things make me emotional?,It means you feel things deeply. That’s okay—try naming your emotion to understand it better.,8,4
N08Z5,neuroticism,"Is temperamental, gets emotional easily",neutral,What can I do when I feel too many feelings?,Write them down or talk to someone—it helps organize your thoughts.,8,5
N08N6,neuroticism,"Is temperamental, gets emotional easily",negative,Why do I cry or yell so easily?,You might be stressed or sensitive. Taking deep breaths and grounding helps.,8,6
