title,description,tag,content
Content-Umschreiber,Schreiben Sie Inhalte so einzigartig wie möglich mit einer bestimmten Stimme und einem bestimmten Schreibstil um.,Content & SEO,"Sie sind ein erfahrener Texter, der Inhalte mit eigener Stimme und eigenem Stil umschreiben kann. Verwenden Sie eine Mischung aus kurzen und langen Sätzen. Nutzen Sie ungewöhnliche Begriffe, um die Originalität des Inhalts zu steigern. Formatieren Sie den Inhalt professionell. Schreiben Sie den folgenden Inhalt um: {{Inhalt}}"
Content-Brief-Generator,Erstellen Sie einen Content-Brief für einen Artikel.,Content & SEO,"Sie sind ein erfahrener Texter, der Content-Briefs erstellt. Der Artikeltitel lautet {{Titel}}. Beginnen Sie mit der Überschrift ""Content-Brief für {{Hauptkeyword}}"". Dann folgt die Überschrift ""Content-Überblick"". Danach schreiben Sie ""Titel"" und nennen den Artikeltitel. Anschließend ""Meta-Beschreibung"". Erstellen Sie eine Meta-Beschreibung mit weniger als 160 Zeichen, die das Hauptkeyword enthält. Nach dieser Tabelle folgt ""Gliederung / Worum geht es in diesem Inhalt"". Erstellen Sie hier eine Inhaltsgliederung für den Artikel. Danach folgt ""Welche Keywords und Themen werden empfohlen oder sind erforderlich?"". Listen Sie 10 Keywords auf, die eng mit dem Hauptkeyword verwandt sind. Danach folgt ""Welche Kernfragen haben Leser, die beantwortet werden müssen?"". Erstellen Sie 10 relevante Leserfragen und listen Sie diese auf."
Content-Gliederungs-Generator,Erstellen Sie eine Inhaltsgliederung für einen Artikel.,Content & SEO,"Sie sind ein erfahrener Texter, der Inhaltsgliederungen erstellt. Erstellen Sie eine umfassende Inhaltsgliederung für den Artikel mit dem Titel {{Artikeltitel}}. Die Gliederung sollte mindestens 20 Überschriften und Unterüberschriften enthalten. Die Gliederung sollte umfangreich sein und das gesamte Thema abdecken. Erstellen Sie detaillierte Unterüberschriften, die ansprechend und einprägsam sind. Schreiben Sie nicht den Artikel, sondern nur die Gliederung."
Monatlicher Content-Kalender,Erstellt einen Content-Kalender für die nächsten drei Monate.,Content & SEO,"Sie sind ein Texter, der Experte in der Erstellung von Content-Kalendern ist. Bitte erstellen Sie einen Content-Kalender für 3 Monate mit Long-Tail-Keywords zu {{Thema}}. Es sollte jede Woche des Monats 1 Blogbeitrag geplant werden. Jeder Blogbeitrag sollte einen ansprechenden Clickbait-Titel haben. Die Tabelle sollte tatsächliche Daten in der Zukunft enthalten. Bitte organisieren Sie jeden Blogbeitrag in der Tabelle so, dass es wie ein Kalender aussieht. Antworten Sie nur mit der Tabelle."
Artikel zu Listicle,Konvertieren Sie einen Artikel in einen Listicle.,Content & SEO,"Sie sind ein erfahrener Texter. Konvertieren Sie den unten stehenden Text in einen Listicle-Abschnitt eines Blogbeitrags. Der Abschnitt sollte mit einem kurzen Absatz aus 2 Sätzen beginnen und mit einem Absatz aus 2 Sätzen enden. Der Text, der in einen Listicle umgewandelt werden soll, ist: {{Text}}"
Blogbeitrag-Titel generieren,Schlagen Sie 10 ansprechende Blogbeitragstitel für ein bestimmtes Thema vor.,Content & SEO,"Sie sind ein erfahrener Texter, der ansprechende Titel für Blogbeiträge schreibt. Erstellen Sie 10 einprägsame Blogbeitragstitel mit Aufmerksamkeitsfaktor zum Thema {{Thema}}. Die Titel sollten weniger als 60 Zeichen haben und Wörter aus dem Thema enthalten. Verwenden Sie keine Anführungszeichen oder andere Sonderzeichen."
Blogbeitragsbeschreibungen,Schlagen Sie 10 ansprechende Blogbeitragsbeschreibungen für einen bestimmten Titel vor.,Content & SEO,"Sie sind ein erfahrener Texter, der ansprechende Beschreibungen für Blogbeiträge schreibt. Erstellen Sie 10 einprägsame Blogbeitragsbeschreibungen mit Aufmerksamkeitsfaktor für den Blogbeitrag mit dem Titel {{Titel}}. Die Beschreibungen sollten weniger als 160 Zeichen haben und Wörter aus dem Titel enthalten. Verwenden Sie keine Anführungszeichen oder andere Sonderzeichen."
Blogbeitrag-Gliederung erstellen,Erstellen Sie eine Inhaltsgliederung für einen Blogbeitrag.,Content & SEO,"Sie sind ein erfahrener Texter, der Inhaltsgliederungen erstellt. Erstellen Sie eine umfassende Inhaltsgliederung für den Blogbeitrag mit dem Titel {{Titel}}. Die Gliederung sollte mindestens 20 Überschriften und Unterüberschriften enthalten. Die Gliederung sollte umfangreich sein und das gesamte Thema abdecken. Erstellen Sie detaillierte Unterüberschriften, die ansprechend und einprägsam sind. Schreiben Sie nicht den Blogbeitrag, sondern nur die Gliederung. Bitte nummerieren Sie die Überschriften nicht. Bitte fügen Sie einen Zeilenumbruch zwischen Überschriften und Unterüberschriften ein."
Kompletten Blogbeitrag aus Gliederung generieren,Erstellen Sie einen vollständigen Blogbeitrag aus einer Artikelgliederung. Die Gliederung kann mit dem Gliederungs-Generator erstellt werden.,Content & SEO,"Sie sind ein erfahrener Texter, der detaillierte und durchdachte Blogartikel verfasst. Ich gebe Ihnen eine Gliederung für einen Artikel, und ich möchte, dass Sie jeden der Unterpunkte ausführlich behandeln, um daraus einen vollständigen Artikel zu erstellen. Verwenden Sie eine Mischung aus kurzen und langen Sätzen. Nutzen Sie ungewöhnliche Begriffe, um die Originalität des Inhalts zu steigern. Formatieren Sie den Inhalt professionell. Die Gliederung des Blogartikels ist: {{Gliederung}}"
Kompletten Blogbeitrag aus Thema generieren,"Erstellen Sie einen vollständigen Blogbeitrag aus einem Thema. Verwenden Sie die Weiter-Schaltfläche, damit der Artikel nach Anzeige der Gliederung fortgesetzt wird",Content & SEO,"Sie sind ein erfahrener Texter, der detaillierte und durchdachte Blogartikel verfasst. Ich gebe Ihnen ein Thema für einen Artikel, und ich möchte, dass Sie eine Gliederung mit mindestens 20 Überschriften und Unterüberschriften erstellen. Anschließend möchte ich, dass Sie jeden einzelnen Unterpunkt in der Gliederung ausführlich behandeln, um daraus einen vollständigen Artikel zu erstellen. Verwenden Sie eine Mischung aus kurzen und langen Sätzen. Nutzen Sie ungewöhnliche Begriffe, um die Originalität des Inhalts zu steigern. Formatieren Sie den Inhalt professionell. Senden Sie mir die Gliederung und beginnen Sie dann sofort mit dem Schreiben des vollständigen Artikels. Das Thema des Blogartikels ist: {{Thema}}"
Einleitung mit Framework generieren,Generieren Sie einen Textabsatz zu einem Thema mit bestimmten Keywords.,Content & SEO,"Sie sind ein erfahrener Texter, der detaillierte und überzeugende Blogartikel verfasst. Ich möchte, dass Sie einen fesselnden Einleitungsabsatz von etwa 200 Wörtern zum Thema ""{{Thema}}"" schreiben. Bitte verwenden Sie das Copywriting-Framework, um die Aufmerksamkeit der Blogleser zu wecken. Verwenden Sie eine Mischung aus kurzen und langen Sätzen. Nutzen Sie ungewöhnliche Begriffe, um die Originalität des Inhalts zu steigern. Formatieren Sie den Inhalt professionell. Ich gebe Ihnen unten eine Liste von Keywords, und es wäre großartig, wenn Sie diese an passenden Stellen in den Text einfügen könnten. Bitte heben Sie diese Keywords im Text mit Markdown fett hervor, wenn Sie sie verwenden. Hier sind die Keywords: {{Keywords}}"
Textabsatz generieren,Generieren Sie einen Textabsatz zu einem Thema mit bestimmten Keywords.,Content & SEO,"Sie sind ein erfahrener Texter, der detaillierte und durchdachte Blogartikel verfasst. Ich möchte, dass Sie etwa 200 Wörter zum Thema ""{{Thema}}"" schreiben. Ich gebe Ihnen eine Liste von Keywords, die im Text vorkommen müssen. Verwenden Sie eine Mischung aus kurzen und langen Sätzen. Nutzen Sie ungewöhnliche Begriffe, um die Originalität des Inhalts zu steigern. Formatieren Sie den Inhalt professionell. Hier sind die Keywords: {{Keywords}}. Bitte heben Sie diese Keywords im Text mit Markdown fett hervor."
Pinterest-Pin-Titel generieren,Generieren Sie Optionen für Pinterest-Pin-Titel für Ihr Wunschthema.,Content & SEO,"Sie sind ein Pinterest-SEO-Marketer und Texter. Bitte geben Sie mir 10 ansprechende Pinterest-Pin-Titel für das Thema ""{{Thema}}"". Die Titel sollten zwischen 90 und 100 Zeichen lang sein."
Keywords für Pinterest,Generieren Sie SEO-optimierte Keywords für Ihre Pinterest-Posts.,Content & SEO,"Sie sind ein Pinterest-Marketingexperte. Bitte geben Sie mir 50 leistungsstarke SEO-Keywords für Pinterest für das folgende Thema: ""{{Thema}}"""
LinkedIn-Post-Kalender,Erstellt einen LinkedIn-Content-Kalender für die nächsten drei Monate.,Content & SEO,"Sie sind ein LinkedIn-Experte mit einer großen Fangemeinde. Bitte erstellen Sie einen LinkedIn-Post-Kalender für 3 Monate basierend auf Ihren Interessen ""{{Interessen}}"". Es sollten 3 LinkedIn-Posts pro Woche geplant werden. Die Posts sollten ansprechend, informativ und relevant für verschiedene LinkedIn-Experten in unterschiedlichen Branchen sein. Fügen Sie Posts mit Branchenkenntnissen, persönlichen Erfahrungen und Vordenkertum hinzu, während Sie einen authentischen und gesprächigen Ton beibehalten. Die Markdown-Tabelle sollte tatsächliche Daten in der Zukunft enthalten. Jeder Monat sollte seine eigene Tabelle haben. Die Tabellenspalten sollten sein: Datum, LinkedIn-Post-Idee, Hashtags. Bitte organisieren Sie jeden LinkedIn-Post in der Tabelle so, dass es wie ein Kalender aussieht. Antworten Sie nur mit der Tabelle."
LinkedIn-Hashtag-Generator,Generieren Sie beliebte LinkedIn-Hashtags.,Content & SEO,"Sie sind ein LinkedIn-Influencer mit einer großen Anhängerschaft. Bitte generieren Sie 10 leistungsstarke Hashtags für den folgenden LinkedIn-Post: ""{{LinkedIn-Post}}"""
LinkedIn-Bio-Generator,Generieren Sie eine personalisierte LinkedIn-Bio.,Content & SEO,"Sie sind ein Experte für LinkedIn-Bios. Erstellen Sie eine LinkedIn-Bio für die folgende Stellenbeschreibung ""{{Stellenbeschreibung}}"". Die Bio sollte 300 Zeichen lang sein und die Top-Fähigkeiten der genannten Stelle hervorheben."
LinkedIn-Anzeigengenerator,Generieren Sie eine ansprechende Anzeige für LinkedIn.,Content & SEO,"Sie sind ein Vertriebsleiter mit Expertise in der Erstellung von LinkedIn-Anzeigen. Generieren Sie 10 überzeugende LinkedIn-Anzeigenüberschriften zum Thema ""{{Thema}}"". Die Überschriften sollten zwischen 140 und 150 Zeichen lang sein. Erstellen Sie danach 10 überzeugende LinkedIn-Anzeigenbeschreibungen zum Thema ""{{Thema}}"". Die Beschreibungen sollten zwischen 60 und 70 Zeichen lang sein."
LinkedIn-Verbindungsnachricht,Erstellen Sie eine personalisierte LinkedIn-Verbindungsnachricht.,Content & SEO,"Sie sind ein LinkedIn-Nutzer, der eine Verbindung herstellen möchte. Bitte erstellen Sie eine Verbindungsnachricht für den LinkedIn-Nutzer mit dem Namen ""{{Name}}"". Die Position ist {{Position}}. Die Nachricht sollte zwischen 290 und 300 Zeichen lang sein. Bitte gestalten Sie die Nachricht freundlich und ansprechend. Erwähnen Sie die Position nicht direkt."
LinkedIn-Kommentargenerator,Erstellen Sie eine Antwort auf einen LinkedIn-Post.,Content & SEO,"Sie sind ein LinkedIn-Influencer mit einer großen Anhängerschaft. Bitte erstellen Sie 3 Kommentare als Antwort auf den folgenden LinkedIn-Post: ""{{LinkedIn-Post}}"""
LinkedIn-Post-Ersteller,Erstellen Sie ansprechende Content-Posts für LinkedIn.,Content & SEO,"Sie sind ein LinkedIn-Content-Ersteller. Ihr Content sollte ansprechend, informativ und relevant für verschiedene Experten in unterschiedlichen Branchen sein. Bitte beziehen Sie Branchenkenntnisse, persönliche Erfahrungen und Vordenkertum ein und bewahren Sie gleichzeitig einen authentischen und gesprächigen Ton. Bitte erstellen Sie einen Post über {{Thema}} für die Branche {{Branche}}. Fügen Sie dem Content gegebenenfalls Emojis hinzu und schreiben Sie aus persönlicher Erfahrung. Der Content sollte zwischen 390 und 400 Wörtern lang sein und so formatiert sein, dass er für Leser leicht zu überfliegen ist. Bitte fügen Sie dem Post relevante Hashtags hinzu und fordern Sie die Leser auf, zu kommentieren."
Instagram-Post-Kalender,Erstellt einen Instagram-Content-Kalender für die nächsten drei Monate.,Content & SEO,"Sie sind ein Instagrammer mit einer großen Fangemeinde. Bitte erstellen Sie einen Instagram-Post-Kalender für 3 Monate basierend auf Ihren Interessen ""{{Interessen}}"". Es sollten 3 Instagram-Posts pro Woche geplant werden. Jeder Instagram-Post sollte eine ansprechende Beschreibung haben, Emojis und Instagram-Hashtags in der Beschreibung enthalten. Versuchen Sie, einzigartige Emojis in der Beschreibung zu verwenden. Die Beschreibung sollte einen Aufmerksamkeitsfaktor haben und die Leser neugierig machen. Die Tabelle sollte tatsächliche Daten in der Zukunft enthalten. Jeder Monat sollte seine eigene Tabelle haben. Die Tabellenspalten sollten sein: Datum, Post-Idee, Beschreibung, Bildunterschrift ohne Hashtags, Hashtags. Bitte organisieren Sie jeden Instagram-Post in der Tabelle so, dass es wie ein Kalender aussieht. Antworten Sie nur mit der Tabelle."
Instagram-Bildunterschrift erstellen,Erstellen Sie eine Instagram-Beschreibung/Bildunterschrift.,Content & SEO,"Sie sind ein Instagrammer mit einer großen Fangemeinde. Schreiben Sie eine Instagram-Post-Beschreibung in nur wenigen Sätzen für den Post ""{{Post}}"". Gestalten Sie die Beschreibung lesbar, indem Sie sie mit neuen Zeilen formatieren, Emojis und Instagram-Hashtags in die Beschreibung einfügen. Versuchen Sie, einzigartige Emojis in der Beschreibung zu verwenden. Die Beschreibung sollte einen Aufmerksamkeitsfaktor haben und die Leser neugierig machen. Wiederholen Sie sich nicht in der Beschreibung. Beginnen Sie direkt mit dem Schreiben der Beschreibung."
Facebook-Anzeigen-Ersteller,Erstellen Sie eine vollständige Facebook-Anzeige für Ihr Produkt oder Ihre Dienstleistung.,Content & SEO,"Sie sind ein erfahrener Facebook-Marketer mit Expertise in Facebook-Anzeigen. Bitte erstellen Sie Anzeigentexte für das Produkt/die Dienstleistung ""{{Produkt/Dienstleistung}}"". Bitte verwenden Sie die folgenden Richtlinien: Erstellen Sie eine überzeugende Überschrift, die die Aufmerksamkeit auf sich zieht und den Hauptvorteil des Produkts/der Dienstleistung hervorhebt. Die Überschrift sollte zwischen 30 und 40 Zeichen lang sein und das Beschreibungsfeld sollte 20-25 Zeichen lang sein. Erstellen Sie dann das primäre Anzeigentextfeld. Verwenden Sie im primären Anzeigentext klare und prägnante Sprache, die sich auf die Vorteile des Produkts/der Dienstleistung konzentriert und potenzielle Einwände anspricht. Fügen Sie einen starken Call-to-Action hinzu, der Nutzer dazu auffordert, die gewünschte Aktion auszuführen. Das primäre Anzeigentextfeld sollte 125-125 Zeichen lang sein. Recherchieren Sie die demografischen Daten der Zielgruppe wie Alter, Geschlecht, Standort, Interessen und andere Merkmale, die Ihnen helfen würden, die Zielgruppe besser zu verstehen und eine Anzeige zu erstellen, die sie mehr anspricht."
Facebook-Gruppenbeitrag,Generieren Sie Ideen für Facebook-Gruppenbeiträge für Ihr Wunschthema.,Content & SEO,"Sie sind ein erfahrener Facebook-Marketer. Geben Sie mir eine Liste mit 5 interessanten und ansprechenden Fragen, die ich in meiner Facebook-Gruppe zum Thema ""{{Thema}}"" posten kann."
Facebook-Post-Kalender,Erstellt einen Facebook-Content-Kalender für die nächsten drei Monate.,Content & SEO,"Sie sind ein erfahrener Facebook-Marketer. Bitte erstellen Sie einen Facebook-Post-Kalender für 3 Monate basierend auf Ihrem Produkt/Ihrer Dienstleistung ""{{Produkt/Dienstleistung}}"" für Ihre Zielgruppe ""{{Zielgruppe}}"". Es sollten 3 Facebook-Posts pro Woche geplant werden. Jeder Facebook-Post sollte eine ansprechende Überschrift und Beschreibung haben. Versuchen Sie, einzigartige Emojis in der Beschreibung zu verwenden. Die Beschreibung sollte einen Aufmerksamkeitsfaktor haben und den Leser neugierig machen. Die Tabelle sollte tatsächliche Daten in der Zukunft enthalten. Jeder Monat sollte seine eigene Tabelle haben. Die Tabellenspalten sollten sein: Datum, Post-Idee, Beschreibung. Bitte organisieren Sie jeden Facebook-Post in der Tabelle so, dass es wie ein Kalender aussieht. Antworten Sie nur mit der Tabelle."
Instagram-Karussell generieren,Erstellen Sie ein vollständiges Karussell für Instagram mit Bildunterschrift.,Content & SEO,"Sie sind ein Instagrammer mit einer großen Fangemeinde. Erstellen Sie ein Instagram-Karussell zu ""{{Thema}}"". Es sollten etwa 8 bis 10 Folien sein. Schreiben Sie Details zu allen Folien mit Titeln auf. Generieren Sie ein exaktes Content-Beispiel für jede Folie. Fügen Sie nach dem Schreiben der Karussell-Folien eine Trennlinie hinzu. Generieren Sie dann eine Instagram-Post-Beschreibung in nur wenigen Sätzen für das Karussell. Fügen Sie Emojis und Instagram-Hashtags in die Beschreibung ein. Versuchen Sie, einzigartige Emojis im Content zu verwenden. Die Beschreibung sollte einen Aufmerksamkeitsfaktor haben und die Leser neugierig machen. Wiederholen Sie sich nicht in der Beschreibung. Beginnen Sie direkt mit dem Schreiben der Folien-Details."
Facebook-Post-Ideen,"Generieren Sie Ideen für Facebook-Posts zu Ihrem Wunschthema, die Ihre Zielgruppe ansprechen.",Content & SEO,"Sie sind ein erfahrener Facebook-Marketer. Generieren Sie 5 Ideen für Facebook-Posts zum Thema ""{{Thema}}"", die die Zielgruppe ""{{Zielgruppe}}"" ansprechen. Fügen Sie nach Möglichkeit einen CTA und Hashtags hinzu."
Personalisierte Twitter-Bio,Erstelle eine einzigartige Twitter-Bio für deine Berufsrolle und Branche.,Content & SEO,"Sie sind ein Experte für die Erstellung von Twitter-Bios. Bitte erstellen Sie eine einzigartige und auffällige Twitter-Bio mit passenden Emojis und einer informativen Bio für ein Jobprofil in der Branche {{Branche}}, die ihre Fähigkeiten und Erfahrungen auf ihrem Twitter-Profil präsentieren möchte. Die Bio sollte kurz, ansprechend sein und die beruflichen Leistungen, wichtigsten Stärken und Alleinstellungsmerkmale der Person prägnant und aufmerksamkeitsstark hervorheben. Die Länge der Bio sollte zwischen 150 und 160 Zeichen liegen. Verwenden Sie Hashtags, um die Bio hervorzuheben und die professionelle Marke der Person effektiv zu kommunizieren."
TikTok-Post-Kalender,Erstelle einen TikTok-Content-Kalender für die nächsten drei Monate.,Content & SEO,"Sie sind ein TikTok-Ersteller und Influencer. Bitte erstellen Sie einen TikTok-Content-Kalender mit Ideen für ansprechende TikToks für 3 Monate zum Thema ""{{Thema}}"". Es sollten 5 Videos pro Woche geplant werden. Die Videos sollten unterhaltsam, informativ und ansprechend sein. Bitte verwenden Sie einfache und verständliche Wörter. Bitte fügen Sie Tipps, persönliche Erfahrungen und interessante Fakten in die Videos ein. Die Markdown-Tabelle sollte tatsächliche Daten in der Zukunft enthalten. Jeder Monat sollte seine eigene Tabelle haben. Die Tabellenspalten sollten sein: Datum, TikTok-Idee, Hashtags, Trend-Songs. Bitte organisieren Sie jede TikTok-Idee in der Tabelle so, dass sie wie ein Kalender aussieht. Antworten Sie nur mit der Tabelle."
Ansprechender Twitter-Thread,Erstelle einen ansprechenden Twitter-Thread.,Content & SEO,"Sie sind ein Twitter-Influencer mit einer großen Anhängerschaft. Bitte erstellen Sie einen Thread über {{Thema}}. Fügen Sie dem Thread gegebenenfalls Emojis hinzu. Die Zeichenanzahl für jeden Thread sollte zwischen 270 und 280 Zeichen liegen. Ihr Content sollte ein lockerer, informativer und ansprechender Twitter-Thread sein. Bitte verwenden Sie einfache und verständliche Wörter. Bitte fügen Sie Statistiken, persönliche Erfahrungen und interessante Fakten in den Thread ein. Bitte fügen Sie dem Post relevante Hashtags hinzu und fordern Sie die Leser auf, sich an der Diskussion zu beteiligen."
Pinterest-Hashtag-Generator,Generiere beliebte Pinterest-Hashtags für dein Wunschthema.,Content & SEO,"Sie sind ein Pinterest-Marketer und Influencer. Bitte generieren Sie 10 beliebte Hashtags für den folgenden Text: ""{{Text}}""."
Pin-Beschreibungen erstellen,Erstelle Pinterest-Pin-Beschreibungen für dein Post-Thema.,Content & SEO,"Sie sind ein Pinterest-SEO-Marketer und Texter. Bitte schreiben Sie 3 Pinterest-Beschreibungen mit einer Länge von 480 bis 500 Zeichen für das folgende Thema: ""{{Thema}}"". Bitte verwenden Sie die folgenden Keywords: ""{{Keywords}}""."
Pinterest-Pin-Kalender,Erstellt einen Pinterest-Content-Kalender für die nächsten drei Monate.,Content & SEO,"Sie sind ein Pinterest-Marketer und Influencer mit einer großen Fangemeinde. Bitte erstellen Sie einen Pinterest-Pin-Kalender mit Ideen für ansprechende Pins für 3 Monate zum Thema: ""{{Thema}}"". Es sollten 5 Pins pro Woche geplant werden. Die Pins sollten locker, informativ und ansprechend sein. Bitte verwenden Sie einfache und verständliche Wörter. Bitte fügen Sie Tipps, persönliche Erfahrungen und interessante Fakten in die Pins ein. Die Markdown-Tabelle sollte tatsächliche Daten in der Zukunft enthalten. Jeder Monat sollte seine eigene Tabelle haben. Die Tabellenspalten sollten sein: Datum, Pinterest-Pin-Idee, Hashtags. Bitte organisieren Sie jede Pin-Idee in der Tabelle so, dass sie wie ein Kalender aussieht. Antworten Sie nur mit der Tabelle."
TikTok-Skript-Autor,Schreibe ein ansprechendes TikTok-Video-Skript für dein Thema und deine Zielgruppe.,Content & SEO,"Sie sind ein TikTok-Marketer und Influencer. Bitte schreiben Sie ein TikTok-Video-Skript für das Thema: ""{{Thema}}"". Die Zielgruppe ist: ""{{Zielgruppe}}"". Die Länge des Videos sollte weniger als 90 Sekunden betragen. Das Skript muss einen einprägsamen Titel haben, den Best Practices von TikTok-Videos folgen und so viel Aufmerksamkeit wie möglich von der Zielgruppe erhalten."
TikTok-Videoideen,Generiere einprägsame Videoideen für dein Wunschthema.,Content & SEO,"Sie sind ein TikTok-Marketer und Influencer. Bitte generieren Sie 10 TikTok-Videoideen mit dem Potenzial, für das Thema ""{{Thema}}"" viral zu gehen. Bitte fügen Sie für jede Idee einprägsame Titel und Trend-Hashtags hinzu."
TikTok-Hashtag-Generator,Generiere Trend-TikTok-Hashtags für dein Wunschthema.,Content & SEO,"Sie sind ein TikTok-Influencer mit einer großen Anhängerschaft. Bitte generieren Sie 10 Trend-Hashtags für den folgenden Text: ""{{Text}}""."
YouTube-Titel & Beschreibungen,Generiere YouTube-Videotitel und -beschreibungen aus Keywords.,Content & SEO,"Sie sind ein YouTuber mit einer großen Fangemeinde. Generieren Sie einprägsame YouTube-Titel und -beschreibungen für eine Liste von Keywords ""{{Keywords}}"". Für jedes Keyword sollte nur ein Titel und eine Beschreibung generiert werden. Die Titel sollten nicht länger als 100 Zeichen sein. Die Beschreibungen sollten nicht länger als 1000 Zeichen sein. Der Titel und die Beschreibung sollten die Keywords enthalten. Der Titel sollte gut für Videos geeignet sein und keine generischen Titel sein. Die Titel sollten dem Zuschauer entweder auf visuelle Weise etwas beibringen. Die Beschreibung sollte lang sein und mehrere informative Absätze zum Thema enthalten. Die Beschreibung sollte den Zuschauer auch auffordern, den Abonnieren-Button zu klicken."
YouTube-Transkript zu Artikel,Generiere YouTube-Videotitel und -beschreibungen aus Keywords.,Content & SEO,"Sie sind ein erfahrener Texter, der YouTube-Transkripte gut in Artikel umwandeln kann. Ich gebe Ihnen einen YouTube-Transkripttext und Sie erstellen daraus einen Artikel. Verwenden Sie eine Mischung aus kurzen und langen Sätzen. Nutzen Sie ungewöhnliche Begriffe, um die Originalität des Inhalts zu steigern. Formatieren Sie den Inhalt professionell. Generieren Sie außerdem einen einprägsamen Seitentitel und Meta-Beschreibungen für den Artikel. Die Seitentitel sollten zwischen 70 und 80 Zeichen lang und für das Keyword ""{{Keyword}}"" optimiert sein. Die Meta-Beschreibungen sollten zwischen 140 und 160 Zeichen lang und für das Keyword ""{{Keyword}}"" optimiert sein. Der YouTube-Transkripttext ist – ""{{Transkript}}""."
YouTube-Anzeigen-Generator,Generiere Überschriften und Beschreibungen für die Schaltung von Anzeigen auf YouTube.,Content & SEO,"Sie sind ein Texter mit Expertise in der Erstellung von YouTube-Anzeigen. Generieren Sie 10 überzeugende YouTube-Überschriften und 10 überzeugende Beschreibungen für ein Video. Die Überschriften sollten zwischen 90 und 100 Zeichen lang sein. Die Beschreibungen sollten zwischen 30 und 35 Zeichen lang sein. Verwenden Sie keine Anführungszeichen oder andere Sonderzeichen. Das Video handelt von ""{{Thema}}""."
YouTube-Tag-Generator,Generiere Trend-TikTok-Hashtags für dein Wunschthema.,Content & SEO,"Sie sind ein YouTuber mit einer großen Fangemeinde. Bitte generieren Sie 10 YouTube-Tags für den Text: ""{{Text}}"". Bitte generieren Sie nichts, was mit dem Zeichen ""#"" beginnt, und ignorieren Sie es dann. YouTube-Tags sind vollständige Keywords mit Leerzeichen zwischen den Wörtern. Wenn Sie etwas generieren, das mit dem Zeichen ""#"" beginnt, ignorieren Sie es bitte. YouTube-Tags sind vollständige Keywords mit Leerzeichen zwischen Wörtern. Bitte schreiben Sie jedes Wort im YouTube-Tag groß. Bitte fügen Sie die YouTube-Tags in eine Markdown-Tabelle ein. Bitte generieren Sie die YouTube-Tags für den Text: ""{{Text}}""."
YouTube-Shorts-Skript,Erstelle ein 60-Sekunden-Skript für YouTube Shorts.,Content & SEO,"Sie sind ein YouTuber mit einer großen Fangemeinde. Erstellen Sie ein YouTube-Shorts-Videoskript für: ""{{Thema}}"". Das Skript ist für YouTube Shorts gedacht und sollte nicht länger als 60 Sekunden sein. Fordern Sie im Skript an relevanter Stelle den Zuschauer auf, den Abonnieren-Button zu klicken."
YouTube-Skript-Ersteller,Erstelle ein komplettes Skript für YouTube.,Content & SEO,"Sie sind ein YouTuber mit einer großen Fangemeinde. Erstellen Sie ein komplettes YouTube-Video-Skript für: ""{{Thema}}"". Das Skript sollte eine gute Einleitung, 4 bis 5 Segmente und einen Schluss haben. Fordern Sie im relevanten Segment den Zuschauer auf, den Abonnieren-Button zu klicken."
Twitter-Thread-Kalender,Erstellt einen Twitter-Content-Kalender für die nächsten drei Monate.,Content & SEO,"Sie sind ein Twitter-Experte mit einer großen Fangemeinde. Bitte erstellen Sie einen Twitter-Thread-Kalender mit Ideen für ansprechende Twitter-Threads für 3 Monate zum Thema: ""{{Thema}}"". Es sollten 5 Twitter-Threads pro Woche geplant werden. Die Twitter-Threads sollten locker, informativ und ansprechend sein. Bitte verwenden Sie einfache und verständliche Wörter. Bitte fügen Sie Statistiken, persönliche Erfahrungen und interessante Fakten in die Twitter-Threads ein. Die Markdown-Tabelle sollte tatsächliche Daten in der Zukunft enthalten. Jeder Monat sollte seine eigene Tabelle haben. Die Tabellenspalten sollten sein: Datum, Twitter-Thread-Idee. Bitte organisieren Sie jede Blog-Thread-Idee in der Tabelle so, dass sie wie ein Kalender aussieht. Antworten Sie nur mit der Tabelle."
Twitter-Hashtag-Generator,Generiere beliebte Twitter-Hashtags für dein Wunschthema.,Content & SEO,"Sie sind ein Twitter-Influencer mit einer großen Anhängerschaft. Bitte generieren Sie 10 leistungsstarke Hashtags für den folgenden Text: ""{{Text}}""."
Kunden auf Twitter antworten,Generiere Tweet-Antworten für die häufigsten Kundenbeschwerden.,Content & SEO,"Sie sind ein Kundensupport-Mitarbeiter, der mit Empathie auf Kunden-Tweets antwortet. Bitte erstellen Sie eine Antwort auf einen Kunden-Tweet. Teilen Sie Ihre Antwort in einzelne Tweets auf. Die Zeichenanzahl für jeden Tweet sollte zwischen 270 und 280 Zeichen liegen. Der Kunden-Tweet lautet: ""{{Tweet}}""."
Artikel in Twitter-Thread umwandeln,Wandle deinen Artikel in einen ansprechenden Twitter-Thread mit Hashtags um.,Content & SEO,"Sie sind ein professioneller Texter und möchten Ihren Artikel in einen ansprechenden Twitter-Thread umwandeln. Fügen Sie dem Thread gegebenenfalls Emojis hinzu. Die Zeichenanzahl für jeden Thread sollte zwischen 270 und 280 Zeichen liegen. Bitte fügen Sie dem Post relevante Hashtags hinzu und fordern Sie die Twitter-Nutzer auf, sich an der Diskussion zu beteiligen. Bitte wandeln Sie den folgenden Artikel in einen Twitter-Thread um: ""{{Artikel}}""."
